region,type,amount,ind,date
17,0,1489.7,6,2018-03-01
17,0,1486.3,6,2018-04-01
170,1,1483.1,1,2017-08-01
22,4,1473.9,5,2017-12-01
22,4,1461.7,5,2018-01-01
23,7,1461.1,1,2018-07-01
22,4,1447.7,5,2017-08-01
22,4,1447.6,5,2017-11-01
15,4,1443,5,2018-02-01
23,7,1440.2,1,2018-06-01
17,0,1437.1,6,2018-02-01
22,4,1435.2,5,2017-09-01
375,7,1430.5,5,2018-07-01
375,7,1423.3,5,2018-06-01
23,7,1420,1,2018-05-01
375,7,1414.5,5,2018-05-01
23,7,1401.2,1,2018-04-01
375,7,1400.4,5,2017-12-01
22,4,1396.8,5,2017-10-01
17,0,1394.2,6,2017-12-01
17,0,1388.4,6,2017-10-01
17,0,1384.8,6,2018-01-01
375,7,1383.6,5,2017-11-01
170,1,1382,1,2018-06-01
375,7,1379,5,2018-04-01
17,0,1378,6,2017-11-01
375,6,1372.9,6,2018-04-01
23,7,1368.2,1,2017-12-01
23,7,1368,1,2017-11-01
23,7,1366.8,1,2018-01-01
23,7,1365.4,1,2017-10-01
375,7,1365.4,5,2018-03-01
23,7,1365,1,2018-02-01
23,7,1363.8,1,2018-03-01
17,0,1362.9,6,2017-09-01
375,6,1358.4,6,2018-03-01
170,1,1349,1,2018-07-01
375,7,1348.8,5,2017-09-01
23,7,1347.1,1,2017-08-01
23,7,1346.6,1,2017-09-01
17,0,1343.1,6,2017-08-01
170,1,1340.8,1,2018-02-01
375,7,1339.1,5,2017-10-01
170,1,1334.8,1,2018-04-01
375,6,1334.4,6,2018-02-01
170,1,1333.5,1,2018-05-01
375,7,1333.5,5,2018-01-01
375,7,1333.3,5,2018-02-01
170,4,1327.7,6,2018-04-01
170,1,1326.3,1,2018-03-01
170,4,1312.6,6,2018-03-01
375,6,1307.3,6,2017-11-01
375,6,1305.2,6,2017-10-01
170,4,1290,6,2018-05-01
375,6,1286.9,6,2017-08-01
375,6,1279.1,6,2017-09-01
375,6,1278.1,6,2017-12-01
170,4,1276.5,6,2017-10-01
170,4,1275,6,2017-12-01
375,7,1274.4,5,2017-08-01
170,4,1268.6,6,2018-02-01
375,6,1265.9,6,2018-01-01
170,4,1265.5,6,2017-11-01
170,0,1264.1,2,2018-02-01
170,4,1251.6,6,2018-07-01
170,4,1249.5,6,2017-08-01
170,4,1239.7,6,2017-09-01
21,7,1239,1,2018-02-01
21,7,1235.8,1,2018-07-01
21,7,1235.4,1,2018-03-01
23,0,1228.1,2,2018-04-01
170,4,1225.4,6,2018-06-01
21,7,1223,1,2017-08-01
23,0,1221,2,2017-10-01
170,0,1220.7,2,2018-01-01
21,7,1214.9,1,2018-06-01
21,7,1212.6,1,2017-09-01
23,0,1212,2,2018-05-01
170,4,1210.2,6,2018-01-01
23,0,1202.5,2,2017-12-01
17,6,1197.3,1,2018-06-01
170,0,1195.5,2,2018-03-01
21,7,1186,1,2017-11-01
